gene,alias
ADRA2B,ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR
ADRA2C,ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR
ADRB1,ADRB1R|B1AR|BETA1AR|RHR
ADRB2,ADRB2R|ADRBR|B2AR|BAR|BETA2AR
ADRB3,BETA3AR
ADRM1,ARM-1|ARM1|GP110
ADSL,AMPS|ASASE|ASL
ADSS,ADEH|ADSS 2
ADSSL1,MPD5
ADTRP,AIG1L|C6orf105|dJ413H6.1
AEBP1,ACLP
AEN,ISG20L1|pp12744
AES,AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5
AFA1,MPB
AFAP1,AFAP|AFAP-110|AFAP110
AFAP1-AS1,AFAP1-AS|AFAP1AS
AFAP1L2,CTB-1144G6.4|KIAA1914|XB130
AFD1,AFDN
AFDN,AF6|MLL-AF6|MLLT4|l-afadin
AFDN-DT,AFDN-AS1|C6orf124|HGC6.4|MLLT4-AS1|dJ431P23.3
AFF1,AF4|MLLT2|PBM1
AFF2,FMR2|FMR2P|FRAXE|MRX2|OX19
AFF3,LAF4|MLLT2-like
AFF4,AF5Q31|CHOPS|MCEF
AFG1L,AFG1|LACE1|c222389
AFG3L1P,AFG3|AFG3L1
AFG3L2,SCA28|SPAX5
AFG3L2P1,AFG3L2P
AFM,ALB2|ALBA|ALF
AFMID,FKF|KF|KFA
AFP,AFPD|FETA|HPAFP
AFTPH,Nbla10388
AGA,AGU|ASRG|GA
AGAP1,AGAP-1|CENTG2|GGAP1|cnt-g2
AGAP10P,AGAP10|CTGLF10P|CTGLF7|bA144G6.2|bA358L16.1
AGAP12P,CTGLF12P
AGAP13P,CTGLF9P|bA548K23.1
AGAP14P,AGAP14|CTGLF11P|bA145E20.1
AGAP2,CENTG1|GGAP2|PIKE
AGAP2-AS1,PUNISHER
AGAP3,AGAP-3|CENTG3|CRAG|MRIP-1|cnt-g3
AGAP4,AGAP-4|AGAP-8|AGAP8|CTGLF1|CTGLF5|MRIP2
AGAP5,CTGLF2
AGAP6,AGAP-6|CTGLF3|bA324H6.1
AGAP7P,AGAP-7|AGAP7|CTGLF4|bA109G10.1
AGAP9,AGAP-9|CTGLF6|bA301J7.2
AGBL1,CCP4|FECD8
AGBL2,CCP2
AGBL3,CCP3
AGBL4,CCP6
AGBL5,CCP5|RP75
AGER,RAGE|SCARJ1
AGFG1,HRB|RAB|RIP
AGFG2,HRBL|RABR
AGGF1,GPATC7|GPATCH7|HSU84971|HUS84971|VG5Q
AGK,CATC5|CTRCT38|MTDPS10|MULK
AGKP1,AGKY1
AGL,GDE
AGMO,TMEM195
AGMX2,IMD6|XLA2
AGO1,EIF2C|EIF2C1|GERP95|Q99|hAgo1
AGO2,CASC7|EIF2C2|LINC00980|PPD|Q10
AGO3,EIF2C3
AGO4,EIF2C4
AGPAT1,1-AGPAT1|G15|LPAAT-alpha|LPAATA
AGPAT2,1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta
AGPAT3,LPAAT-GAMMA1|LPAAT3
AGPAT4,1-AGPAT4|LPAAT-delta|dJ473J16.2
AGPAT4-IT1,C6orf59|NCRNA00241
AGPAT5,1AGPAT5|LPAATE
AGPS,ADAP-S|ADAS|ADHAPS|ADPS|ALDHPSY|RCDP3
AGR2,AG-2|AG2|GOB-4|HAG-2|HEL-S-116|HPC8|PDIA17|XAG-2
AGR3,AG-3|AG3|BCMP11|HAG3|PDIA18|hAG-3
AGRN,AGRIN|CMS8|CMSPPD
AGRP,AGRT|ART|ASIP2
AGT,ANHU|SERPINA8|hFLT1
AGTPBP1,CCP1|NNA1
AGTR1,AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R
AGTR2,AT2|ATGR2|MRX88
AGTRAP,ATRAP
AGXT,AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6
AGXT2,AGT2|BAIBA|DAIBAT
AHCTF1,ELYS|MST108|MSTP108|TMBS62
AHCTF1P1,AHCTF1P|ELYS-like
AHCY,SAHH|adoHcyase
AHCYL1,DCAL|IRBIT|PPP1R78|PRO0233|XPVKONA
AHCYL2,ADOHCYASE3|IRBIT2
AHDC1,MRD25
AHI1,AHI-1|JBTS3|ORF1|dJ71N10.1
AHNAK,AHNAKRS|PM227
AHNAK2,C14orf78
AHR,bHLHe76
AHRR,AHH|AHHR|bHLHe77
AHSA1,AHA1|C14orf3|hAha1|p38
AHSA2P,AHA1|AHSA2|Hch1
AHSG,A2HS|AHS|APMR1|FETUA|HSGA
AHSP,EDRF|ERAF
AICDA,AID|ARP2|CDA2|HEL-S-284|HIGM2
AIDA,C1orf80
AIF1,AIF-1|IBA1|IRT-1|IRT1
AIF1L,C9orf58|IBA2
